Название ЖК	Название остановки	Расстояние
FreeDom	«5-й автобусный парк», 2-й Силикатный проезд (15862)	401.1572036355326
FreeDom	«5-й автобусный парк», Звенигородское шоссе (16510)	458.1241559606246
FreeDom	«Улица Мясищева», Филёвский бульвар (8644)	479.51984885214557
FreeDom	«Ул. Мясищева», Филёвский бульвар (2376)	515.8742946139405
FreeDom	«ул. Мневники, 4», улица Мнёвники (15969)	578.8818866847646
FreeDom	«5-й автобусный парк», улица Мнёвники (15569)	603.9618043006822
FreeDom	«Новофилёвский пр.», Новофилёвский проезд (2377)	611.605125625941
FreeDom	«Новофилёвский пр.», Новофилёвский проезд (2368)	626.3836952141229
FreeDom	«ул. Мневники, 4», улица Мнёвники (17124)	630.6389610798326
FreeDom	«Карамышевская наб., 1», Карамышевская набережная (16052)	634.4568676448706
FreeDom	«Сквер Марш. Жукова», проспект Маршала Жукова (1724)	727.4518286529158
FreeDom	«Сквер Марш. Жукова», проспект Маршала Жукова (1733)	778.7725668013525
FreeDom	«Просп. Марш. Жукова, 14», проспект Маршала Жукова (1661)	849.030562999185
FreeDom	«3-я Хорошевская ул.», 3-я Хорошёвская улица (1799)	862.6682471460791
FreeDom	«Филевский бульв., 2», Филёвский бульвар (2375)	913.871313854335
FreeDom	«3-я Хорошевская ул.», 3-я Хорошёвская улица (1801)	921.100293272572
FreeDom	«Береговой пр., 4», Новофилёвский проезд (2367)	928.798960030954
FreeDom	«Береговой пр., 4», Новофилёвский проезд (2378)	951.0231728909234
FreeDom	«МЖК Атом», улица Мнёвники (747)	965.509074196897
FreeDom	«Просп. Марш. Жукова, 14», проспект Маршала Жукова (1683)	981.310451996339
Сердце столицы	«Ул. Шеногина», 1-й Силикатный проезд (1767)	159.6573873266155
Сердце столицы	«Ул. Шеногина», 1-й Силикатный проезд (1599)	176.5751398835368
Сердце столицы	«2-й Силикатный пр.», 1-й Силикатный проезд (1559)	492.8505035531191
Сердце столицы	«2-й Силикатный пр.», 1-й Силикатный проезд (1600)	537.6025109159475
Сердце столицы	«2-й Силикатный пр.», 1-й Силикатный проезд (1000873)	554.7192941688336
Сердце столицы	«Романовская школа», Шелепихинская набережная (1681)	584.0566718316901
Сердце столицы	«4-я Магистральная ул.», 3-я Магистральная улица (1594)	592.5830434788195
Сердце столицы	«Силикатный з-д (выс.)», 1-й Силикатный проезд (16994)	598.0069128044057
Сердце столицы	«Романовская школа», Шелепихинская набережная (1664)	615.9477788027979
Сердце столицы	«Силикатный з-д (пос.)», 1-й Силикатный проезд (16995)	624.8322970210891
Сердце столицы	«Силикатный з-д (к/ст)», 1-й Силикатный проезд (16996)	668.7839510881148
Сердце столицы	«Ст. Пресня», 3-я Магистральная улица (1563)	743.266398569943
Сердце столицы	«Причальный пр.», Причальный проезд (1663)	833.5946119652461
Сердце столицы	«Причальный пр.», Причальный проезд (8226)	857.6478851731821
Сердце столицы	«1-й Магистральный пр.», 3-я Магистральная улица (1596)	877.9323701875442
Сердце столицы	«Шелепихинская наб.», Шелепихинская набережная (1682)	924.8976415632684
Сердце столицы	«Шелепихинская наб.», Шелепихинская набережная (1665)	939.8613342823588
Сердце столицы	«1-й Магистральный пр.», 3-я Магистральная улица (1562)	940.5615344135797
Сердце столицы	«1-я Магистральная ул.», 4-я Магистральная улица (1593)	979.473249029511
Михайловский парк	«Поликлиника», улица Михайлова (4845)	129.49446436074263
Михайловский парк	«К/т Восход», улица Михайлова (4964)	203.83283146716823
Михайловский парк	«НИЦ Строительство», Рязанский проспект (4739)	236.78301693449725
Михайловский парк	«НИЦ Строительство», Рязанский проспект (15188)	269.19906161536073
Михайловский парк	«НИЦ Строительство», Рязанский проспект (4838)	349.14997679248427
Михайловский парк	«Луховицкая ул.», Луховицкая улица (1001192)	365.8519306161273
Михайловский парк	«Рязанский проспект, 57», Рязанский проспект (4740)	390.6240712431664
Михайловский парк	«Поликлиника», улица Михайлова (4853)	391.705029988355
Михайловский парк	«Луховицкая ул.», Луховицкая улица (1001193)	423.57991553754186
Михайловский парк	«Рязанский просп., 57», Рязанский проспект (4837)	446.4617821277065
Михайловский парк	«К/т Восход», улица Михайлова (4846)	464.1996923099532
Михайловский парк	«Платф. Плющево», Луховицкая улица (1001194)	494.19978200125473
Михайловский парк	«Платф. Плющево», Луховицкая улица (1001195)	502.1655994422662
Михайловский парк	«2-я Институтская ул.», улица Михайлова (4844)	610.261403717237
Михайловский парк	«Метро Окская», Рязанский проспект (4738)	654.7867972570837
Михайловский парк	«Метро Окская», Окская улица (5675)	659.7001056735064
Михайловский парк	«Метро Окская», Окская улица (5953)	691.748899302782
Михайловский парк	«Ул. Михайлова», улица Михайлова (4852)	738.509055777697
Михайловский парк	«Окская ул.», улица Фёдора Полетаева (6072)	741.6526835348832
Михайловский парк	«Метро Окская», Рязанский проспект (4839)	746.3307565006158
Михайловский парк	«Окская ул.», улица Фёдора Полетаева (5676)	790.7394769004976
Михайловский парк	«2-я Институтская ул.», улица Михайлова (4854)	844.3036555951113
Михайловский парк	«Ул. Михайлова», улица Михайлова (4847)	847.9535611056298
Ирландский квартал	«ЖК Остров Эрин», проезд без названия (17935)	393.2679986857307
Ирландский квартал	«ЖК Остров Эрин», проезд без названия (17934)	596.5198463549247
Ирландский квартал	«Софьино», проезд без названия (1000519)	719.3189983403681
Ирландский квартал	«Софьино», проезд без названия (17932)	905.0997417872679
Capital Towers (Кэпитал Тауэрс)	«Парк Красная Пресня», Краснопресненская набережная (1001502)	177.1346610199672
Capital Towers (Кэпитал Тауэрс)	«Экспоцентр», Краснопресненская набережная (1001362)	334.67938675172644
Capital Towers (Кэпитал Тауэрс)	«Парк Красная Пресня», Краснопресненская набережная (1001503)	415.8312006058298
Capital Towers (Кэпитал Тауэрс)	«Мантулинская ул.», Мантулинская улица (2962)	428.17812582541484
Capital Towers (Кэпитал Тауэрс)	«Экспоцентр», Краснопресненская набережная (1001363)	457.83170661509126
Capital Towers (Кэпитал Тауэрс)	«Мантулинская ул.», улица Сергея Макеева (2974)	465.99563981480827
Capital Towers (Кэпитал Тауэрс)	«1-й Красногвардейский пр.», 1-й Красногвардейский проезд (2963)	503.7775377346819
Capital Towers (Кэпитал Тауэрс)	«Мантулинская ул.», Мантулинская улица (8217)	507.30482357786946
Capital Towers (Кэпитал Тауэрс)	«Дорогомиловская Застава», Кутузовский проспект (6616)	525.8249263604275
Capital Towers (Кэпитал Тауэрс)	«Дорогомиловская Застава», Большая Дорогомиловская улица (2265)	633.9236980603423
Capital Towers (Кэпитал Тауэрс)	«Красногвардейский бульв.», Шмитовский проезд (3549)	692.3899391475389
Capital Towers (Кэпитал Тауэрс)	«Ул. Анны Северьяновой», Шмитовский проезд (2961)	712.200644779531
Capital Towers (Кэпитал Тауэрс)	«Дорогомиловская Застава», Кутузовский проспект (7753)	727.4575248942425
Capital Towers (Кэпитал Тауэрс)	«Дорогомиловская Застава», Большая Дорогомиловская улица (2417)	729.0006074438328
Capital Towers (Кэпитал Тауэрс)	«Ул. Дунаевского», Кутузовский проспект (5355)	741.3124240674597
Capital Towers (Кэпитал Тауэрс)	«Красногвардейский бульв.», Шмитовский проезд (3555)	746.1980832712097
Capital Towers (Кэпитал Тауэрс)	«Ул. Дунаевского», Кутузовский проспект (5351)	750.7669661671471
Capital Towers (Кэпитал Тауэрс)	«Мост Багратион», Пресненская набережная (1000933)	762.4193884527789
Capital Towers (Кэпитал Тауэрс)	«Мост Багратион», Пресненская набережная (1000932)	808.9333560228622
Capital Towers (Кэпитал Тауэрс)	«Ул. Анны Северьяновой», Шмитовский проезд (2975)	816.9454613852566
Capital Towers (Кэпитал Тауэрс)	«Метро Выставочная», 1-й Красногвардейский проезд (1009476)	842.0931212316523
Capital Towers (Кэпитал Тауэрс)	«Метро Выставочная», 1-й Красногвардейский проезд (13523)	955.8921116621427
Capital Towers (Кэпитал Тауэрс)	«Центр международной торговли», Краснопресненская набережная (1000934)	988.6119328258899
Нескучный Home & Spa	«5-й Донской пр.», Канатчиковский проезд (1001269)	183.76751356537096
Нескучный Home & Spa	«5-й Донской пр.», Канатчиковский проезд (1001267)	210.5619858595226
Нескучный Home & Spa	«Метро Ленинский просп. (сев.)», улица Вавилова (7569)	504.6814204709166
Нескучный Home & Spa	«Метро Ленинский просп. (сев.)», улица Вавилова (7595)	552.918172841465
Нескучный Home & Spa	«Ул. Орджоникидзе», улица Вавилова (7570)	584.5264976788935
Нескучный Home & Spa	«Ул. Орджоникидзе», улица Орджоникидзе (7594)	682.7694434338723
Нескучный Home & Spa	«Метро Ленинский просп. (южн.)», улица Вавилова (10761)	763.1680383826907
Нескучный Home & Spa	«Метро Ленинский просп. (южн.)», улица Вавилова (10763)	822.7258333909656
Нескучный Home & Spa	«Метро Ленинский проспект», Проектируемый проезд № 4432 (1001268)	896.0736092136162
Нескучный Home & Spa	«Онкологический диспансер», 4-й Загородный проезд (1001265)	929.7605734138989
Нескучный Home & Spa	«Онкологический диспансер», 4-й Загородный проезд (1001270)	937.374068110725
Нескучный Home & Spa	«Метро Ленинский просп.», Ленинский проспект (2290)	970.3990086061224
Нескучный Home & Spa	«Ин-т им. Курнакова», Ленинский проспект (10074)	989.7730106210041
